Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1041732,-,-,-,26.05,-81.02,-5,4,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure,
2013,1,1,0,0,0,0,0,0,0,0,1,15,173.01,0,0.117,1.7000000000000002,90.87,17,1020,N/A
2013,1,1,0,30,0,0,0,0,0,0,1,15,176.88,0,0.117,1.7000000000000002,90.85000000000001,17,1020,N/A
2013,1,1,1,0,0,0,0,0,0,0,1,15,172.02,0,0.117,1.7000000000000002,91.09,17,1020,N/A
2013,1,1,1,30,0,0,0,0,0,0,1,15,165.49,0,0.117,1.6,91.07000000000001,17,1020,N/A
2013,1,1,2,0,0,0,0,0,0,0,1,15,158.8,0,0.117,1.6,91.29,17,1020,N/A
2013,1,1,2,30,0,0,0,0,0,0,1,15,152.06,0,0.117,1.6,97.24000000000001,16,1020,N/A
2013,1,1,3,0,0,0,0,0,0,0,3,15,145.33,0,0.117,1.7000000000000002,97.39,16,1020,N/A
2013,1,1,3,30,0,0,0,0,0,0,3,15,138.62,0,0.117,1.7000000000000002,97.36,16,1020,N/A
2013,1,1,4,0,0,0,0,0,0,0,3,15,131.93,0,0.117,1.8,97.37,16,1020,N/A
2013,1,1,4,30,0,0,0,0,0,0,1,15,125.29,0,0.117,1.9000000000000001,97.36,16,1020,N/A
2013,1,1,5,0,0,0,0,0,0,0,1,15,118.7,0,0.117,2,97.15,16,1020,N/A
2013,1,1,5,30,0,0,0,0,0,0,3,15,112.17,0,0.117,2.1,97.15,16,1020,N/A
2013,1,1,6,0,0,0,0,0,0,0,3,15,105.73,0,0.117,2.2,96.95,16,1020,N/A
2013,1,1,6,30,0,0,0,0,0,0,1,15,99.39,0,0.117,2.2,96.96000000000001,16,1020,N/A
2013,1,1,7,0,0,0,0,0,0,0,1,15,93.17,0,0.117,2.3000000000000003,91.5,17,1020,N/A
2013,1,1,7,30,22,125,28,22,125,28,0,15,87.09,0,0.117,2.8000000000000003,85.93,18,1020,N/A
2013,1,1,8,0,50,0,50,49,408,112,3,16,81.21000000000001,0,0.117,3.3000000000000003,78.7,20,1020,N/A
2013,1,1,8,30,98,79,118,67,571,209,3,16,75.56,0,0.117,3.5,74.01,21,1020,N/A
2013,1,1,9,0,77,686,309,77,686,309,0,16,70.2,0,0.117,3.7,69.51,22,1020,N/A
2013,1,1,9,30,85,754,402,85,754,402,2,16,65.2,4,0.117,3.8000000000000003,69.5,22,1020,N/A
2013,1,1,10,0,89,811,486,89,811,486,0,16,60.660000000000004,0,0.117,4,65.56,23,1020,N/A
