Series Data									
E:\WA2114\WA2114_000_000_CUR.PD0									
Broadband 614.4 kHz									
Pings/Ens =	180								
Time/Ping = 00:01.00									
First Ensemble Date = 14/10/31									
First Ensemble Time = 07:00:00.00									
Ensemble Interval (s) = 	600								
1st Bin Range (m) = 	2.12								
Bin Size (m) =	1								


Ens	YR	MO	DA	HH	MM	SS	HH		Dep
									m


151	14	11	1	8	0	0	0		0.089
152	14	11	1	8	10	0	0		0.098
153	14	11	1	8	20	0	0		0.086
154	14	11	1	8	30	0	0		0.095
155	14	11	1	8	40	0	0		0.085
156	14	11	1	8	50	0	0		0.135
157	14	11	1	9	0	0	0		0.112
158	14	11	1	9	10	0	0		0.154
159	14	11	1	9	20	0	0		0.14
160	14	11	1	9	30	0	0		0.148
161	14	11	1	9	40	0	0		0.13
162	14	11	1	9	50	0	0		0.094
163	14	11	1	10	0	0	0		0.094
164	14	11	1	10	10	0	0		0.088
165	14	11	1	10	20	0	0		0.086
166	14	11	1	10	30	0	0		0.094
167	14	11	1	10	40	0	0		0.101
168	14	11	1	10	50	0	0		0.091
169	14	11	1	11	0	0	0		0.093
170	14	11	1	11	10	0	0		0.086
171	14	11	1	11	20	0	0		0.073
172	14	11	1	11	30	0	0		22.872
173	14	11	1	11	40	0	0		25.432								
174	14	11	1	11	50	0	0		28.611
175	14	11	1	12	0	0	0		28.581
176	14	11	1	12	10	0	0		28.559
177	14	11	1	12	20	0	0		28.525
178	14	11	1	12	30	0	0		28.49
179	14	11	1	12	40	0	0		28.481
180	14	11	1	12	50	0	0		28.445
181	14	11	1	13	0	0	0		28.414
182	14	11	1	13	10	0	0		28.36
183	14	11	1	13	20	0	0		28.33
184	14	11	1	13	30	0	0		28.271
185	14	11	1	13	40	0	0		28.234
186	14	11	1	13	50	0	0		28.173
187	14	11	1	14	0	0	0		28.128
188	14	11	1	14	10	0	0		28.063
189	14	11	1	14	20	0	0		28.02
190	14	11	1	14	30	0	0		27.968
191	14	11	1	14	40	0	0		27.912
192	14	11	1	14	50	0	0		27.86
193	14	11	1	15	0	0	0		27.802
194	14	11	1	15	10	0	0		27.749
195	14	11	1	15	20	0	0		27.711
196	14	11	1	15	30	0	0		27.67
197	14	11	1	15	40	0	0		27.631
198	14	11	1	15	50	0	0		27.58
199	14	11	1	16	0	0	0		27.537
200	14	11	1	16	10	0	0		27.519
201	14	11	1	16	20	0	0		27.482
202	14	11	1	16	30	0	0		27.458
203	14	11	1	16	40	0	0		27.442
