"TOA5","CR1000-M1","CR1000","22372","CR1000.Std.24","CPU:D - M1.CR1","02009","M_60"
"TIMESTAMP","RECORD","BattV","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","WS_ms_Std","WS_ms_Max","AirTC_Avg","RH","BP_700_Avg"
"TS","RN","Volts","meters/second","Deg","Deg","meters/second","meters/second","Deg C","%",""
"","","Smp","WVc","WVc","WVc","Std","Max","Avg","Smp","Avg"
"2014-10-29 17:00:00",64,12.56,4.961,98.4,13.21,1.135,8.42,26.58,85,308.3
"2014-10-29 18:00:00",65,12.56,5.989,107.3,7.077,1.004,8.75,26.2,85.5,309.9
"2014-10-29 19:00:00",66,12.55,6.146,105.2,6.875,1.019,9.19,26.14,85.6,310.4
"2014-10-29 20:00:00",67,12.54,5.894,104.8,7.534,0.997,9.06,26.09,83.3,311.2
"2014-10-29 21:00:00",68,12.5,5.544,102.2,8.65,0.941,8.88,26.08,82.6,312
"2014-10-29 22:00:00",69,12.52,5.066,100.1,9.06,0.862,8.32,26,83.3,312.4
"2014-10-29 23:00:00",70,12.51,5.178,103.1,8.25,0.834,7.63,25.83,84.3,312
"2014-10-30 00:00:00",71,12.47,4.816,96.4,10.8,1.073,8.26,25.82,84.2,311.4
"2014-10-30 01:00:00",72,12.46,4.491,99.6,10.03,0.801,7.23,25.75,83.2,311.4
"2014-10-30 02:00:00",73,12.48,3.97,89.1,13.31,1.029,7.7,25.81,82.2,311.2
"2014-10-30 03:00:00",74,12.47,4.066,86.2,13.25,0.968,7.19,25.8,78.74,310.9
"2014-10-30 04:00:00",75,12.42,3.403,82.2,15.72,0.975,6.54,25.81,79.38,311
"2014-10-30 05:00:00",76,12.46,2.79,78.43,16.48,1.059,6.82,25.74,81,311.4
"2014-10-30 06:00:00",77,12.49,2.165,68.84,18.09,0.788,4.99,25.72,79.82,311.9
"2014-10-30 07:00:00",78,12.75,2.524,56.68,16.06,0.703,4.83,25.75,80.6,312.4
"2014-10-30 08:00:00",79,12.86,2.384,66.21,22.19,0.646,4.91,26.32,80.9,313
"2014-10-30 09:00:00",80,13.15,3.108,90.1,20.69,1.073,7.21,26.42,80.3,313.2
"2014-10-30 10:00:00",81,13.12,5.664,98.8,10.9,1.228,9.58,27.11,70.61,312.9
"2014-10-30 11:00:00",82,13.1,6.444,101.1,9.67,1.239,10.18,27.52,74.69,312.7
"2014-10-30 12:00:00",83,13.08,6.419,105.6,7.497,1.091,9.67,27.22,73.91,312.2
"2014-10-30 13:00:00",84,13.09,5.448,110,7.096,0.918,9.43,27.39,76.56,312
"2014-10-30 14:00:00",85,13.11,5.71,109.1,7.434,0.955,8.52,26.98,76.56,311.4
"2014-10-30 15:00:00",86,13.11,5.495,104.8,7.816,0.957,8.26,26.74,76.12,311.2
"2014-10-30 16:00:00",87,12.89,5.316,99.6,10.36,1.085,9.04,26.59,81.4,311.1
"2014-10-30 17:00:00",88,12.71,5.013,102.4,8.97,0.856,7.63,26.28,81.6,311.2
"2014-10-30 18:00:00",89,12.61,4.781,97,10.22,0.893,8.24,26.2,79.89,311.5
"2014-10-30 19:00:00",90,12.52,4.542,93.3,11.6,1.025,8.63,26.13,79.48,311.8
"2014-10-30 20:00:00",91,12.42,4.288,92.2,11.92,0.924,7.94,26.1,78.4,312.2
